geoid20,pop,intpt_lat,intpt_lon,tract_geoid,dist_supply_m,dist_247_m,dist_otp_m,dist_dart_m,dart_within_805m,within_1mi_supply,within_2mi_supply,stranded
481130190281017,69,32.952704,-96.670198,48113019028,6411.6,21404.0,8212.5,435.8,True,False,False,False
481130192161015,81,32.971571,-96.753256,48113019216,7611.6,21573.5,7611.6,746.5,True,False,False,False
481130192102007,38,32.984018,-96.741152,48113019210,8543.2,23037.0,9128.1,643.5,True,False,False,False
481130192102003,96,32.983759,-96.73845,48113019210,8457.3,23035.0,9352.4,628.8,True,False,False,False
481130195022008,38,32.843535,-96.80119,48113019502,3770.0,8062.5,5794.7,289.4,True,False,False,False
481130195013001,86,32.864887,-96.790359,48113019501,6328.9,9983.4,8338.8,64.6,True,False,False,False
481130204022080,21,32.771242,-96.79419,48113020402,1497.4,2755.0,2563.5,140.6,True,True,True,False
481130010021006,58,32.818622,-96.77865,48113001002,1563.8,4740.4,4923.8,281.4,True,True,True,False
481130142051025,64,32.850692,-96.936812,48113014205,2732.4,17973.3,3905.7,1260.9,False,False,True,True
481130001002000,359,32.812469,-96.733423,48113000100,3494.9,4932.4,5551.2,373.2,True,False,False,False
481130190362022,48,32.981045,-96.692759,48113019036,8326.6,23600.4,11498.4,968.9,False,False,False,True
481130170052007,49,32.670445,-96.598905,48113017005,8376.6,19614.8,11042.0,6658.0,False,False,False,True
481130209002006,22,32.765205,-96.780014,48113020900,1398.5,1898.7,1398.5,105.3,True,True,True,False
481130173153015,133,32.711584,-96.601131,48113017315,4956.3,17054.4,6506.6,3725.3,False,False,False,True
481130173111013,60,32.763278,-96.585758,48113017311,2797.5,16926.4,2797.5,5832.8,False,False,True,True
481130165322020,57,32.628413,-96.92551,48113016532,8596.1,22296.9,8596.1,1667.4,False,False,False,True
481130168033065,7,32.591253,-96.754741,48113016803,11037.3,20655.9,13706.8,6972.4,False,False,False,True
481130179001001,176,32.820653,-96.655825,48113017900,1341.3,11355.1,6079.5,803.2,True,True,True,False
481130179002018,57,32.821064,-96.651885,48113017900,1643.4,11709.2,5715.9,1105.8,False,False,True,True
481130204012032,24,32.783669,-96.77035,48113020401,831.0,831.0,1430.5,42.1,True,True,True,False
481130128011012,71,32.859818,-96.689908,48113012801,2616.2,11577.8,2616.2,475.9,True,False,True,False
481130190312019,138,32.97498,-96.679585,48113019031,8163.0,23353.4,10695.3,319.4,True,False,False,False
481130192053018,90,32.967613,-96.7649,48113019205,6446.9,21103.5,6446.9,368.3,True,False,False,False
481130208003058,13,32.744886,-96.7552,48113020800,1109.3,3726.0,3105.9,217.1,True,True,True,False
481130165251002,120,32.583623,-97.002786,48113016525,7217.4,30914.4,7217.4,6951.2,False,False,False,True
481130119011007,116,32.735762,-96.660903,48113011901,1342.6,10843.5,5686.1,180.8,True,True,True,False
481130208004004,33,32.757808,-96.756507,48113020800,391.8,2325.8,1764.2,185.6,True,True,True,False
481130166321022,28,32.587215,-96.868891,48113016632,10317.9,23194.5,10317.9,4959.4,False,False,False,True
481130136072036,81,32.953823,-96.782853,48113013607,4569.2,19640.1,4569.2,431.3,True,False,False,False
481130147042006,89,32.82934,-96.920918,48113014704,3738.2,15642.1,3738.2,2166.6,False,False,False,True
481130181442043,208,32.928749,-96.521643,48113018144,10281.7,28349.6,12126.7,4765.4,False,False,False,True
481130181432019,1056,32.950894,-96.538785,48113018143,9705.6,28659.7,13533.9,5675.1,False,False,False,True
481130166102013,382,32.60574,-96.828349,48113016610,8624.5,19911.2,8624.5,4645.0,False,False,False,True
481130110022015,29,32.684235,-96.839602,48113011002,1688.9,12430.5,1688.9,103.8,True,False,True,False
481130110021020,32,32.685651,-96.832133,48113011002,2405.0,11920.1,2405.0,463.9,True,False,True,False
481130110021010,66,32.684082,-96.830477,48113011002,2387.6,11989.5,2515.4,496.1,True,False,True,False
481130064021015,44,32.728513,-96.875511,48113006402,3036.9,11627.7,3036.9,105.3,True,False,True,False
481130042012010,52,32.755348,-96.824237,48113004201,4352.9,6002.8,4352.9,152.7,True,False,False,False
481130166101024,56,32.607546,-96.841741,48113016610,8124.7,20129.9,8124.7,3940.0,False,False,False,True
481130166342028,32,32.621335,-96.829587,48113016634,6957.0,18303.6,6957.0,2911.9,False,False,False,True
481130107041035,32,32.722577,-96.896528,48113010704,4296.5,13681.5,4296.5,229.3,True,False,False,False
481130173071012,87,32.754477,-96.56337,48113017307,5085.3,19121.4,5085.3,7499.8,False,False,False,True
481130170102002,782,32.684574,-96.57274,48113017010,8856.2,20801.4,10169.7,7383.1,False,False,False,True
481130137282007,68,32.940187,-96.877539,48113013728,3244.7,20877.2,3244.7,1186.4,False,False,False,True
481130002023008,44,32.831155,-96.764913,48113000202,3195.1,5972.1,6660.0,300.5,True,False,True,False
481130127021015,91,32.838119,-96.670618,48113012702,2956.5,11167.3,4504.3,177.6,True,False,True,False
481130186001015,53,32.903337,-96.650633,48113018600,2110.0,17643.3,3449.6,590.3,True,False,True,False
481130013011001,51,32.806699,-96.753981,48113001301,1635.6,3438.7,4125.1,80.2,True,False,True,False
481130090012024,66,32.764725,-96.675396,48113009001,4317.1,8571.4,5697.0,148.0,True,False,False,False
481130027031013,72,32.777753,-96.742082,48113002703,2210.2,2210.2,2432.1,293.8,True,False,True,False
481130122111000,1277,32.805135,-96.684102,48113012211,189.0,8239.7,7621.1,146.0,True,True,True,False
481130112021012,33,32.678394,-96.81336,48113011202,819.1,11843.5,4076.0,137.4,True,True,True,False
481130172011015,102,32.702742,-96.629501,48113017201,3850.0,15205.4,7487.3,2098.3,False,False,False,True
481130117023043,26,32.691585,-96.638274,48113011702,4799.2,15261.1,8873.6,3106.4,False,False,False,True
481130170061099,7,32.592844,-96.553849,48113017006,17938.3,28511.6,20364.6,16197.9,False,False,False,True
481130209002026,35,32.763531,-96.779021,48113020900,1418.6,1973.9,1418.6,109.5,True,True,True,False
481130141531004,176,32.849468,-96.996706,48113014153,4671.8,23066.4,4671.8,446.2,True,False,False,False
481130056001033,64,32.714094,-96.822346,48113005600,1634.3,8793.9,1634.3,101.8,True,False,True,False
481130050002053,77,32.738758,-96.825523,48113005000,3180.9,7051.1,3180.9,170.0,True,False,True,False
481130042011015,22,32.763097,-96.828741,48113004201,3534.9,6115.1,3534.9,548.6,True,False,False,False
481130192023011,39,32.949713,-96.755069,48113019202,5612.4,19144.1,7177.2,155.5,True,False,False,False
481130099003059,10,32.863046,-96.922269,48113009900,2502.1,17475.5,5810.4,1222.6,False,False,True,True
481130141532006,139,32.84006,-97.003801,48113014153,4629.2,23360.1,4629.2,543.7,True,False,False,False
481130010011002,42,32.821846,-96.773497,48113001001,1965.0,4993.5,5523.1,516.9,True,False,True,False
481130181262007,40,32.863074,-96.630112,48113018126,2637.6,15860.6,4341.8,676.4,True,False,True,False
481130190314027,54,32.962805,-96.673802,48113019031,7284.5,22294.4,9328.4,229.1,True,False,False,False
481130183001001,183,32.893521,-96.639966,48113018300,1826.9,17451.7,3511.3,103.9,True,False,True,False
481130178182002,76,32.803235,-96.612907,48113017818,879.8,14594.3,3788.0,4228.2,False,True,True,False
481130173102028,64,32.729186,-96.543714,48113017310,7999.0,21471.2,7999.0,8949.3,False,False,False,True
481130078152000,1630,32.875684,-96.756757,48113007815,5136.0,10941.3,7833.0,142.4,True,False,False,False
481130116032005,26,32.698887,-96.682253,48113011603,5149.4,11692.9,10029.6,1510.0,False,False,False,True
481130181281014,53,32.857842,-96.611738,48113018128,868.7,16955.9,2722.9,425.5,True,True,True,False
481130176062012,123,32.761316,-96.629551,48113017606,1629.4,12874.9,1629.4,1728.9,False,False,True,True
481130174003029,62,32.756022,-96.595039,48113017400,2353.2,16159.2,2353.2,4841.1,False,False,True,True
481130186003019,31,32.901225,-96.663454,48113018600,2658.1,16744.8,2658.1,215.6,True,False,True,False
481130068003007,9,32.759648,-96.860214,48113006800,1268.1,9071.2,1268.1,93.4,True,True,True,False
481130164103021,79,32.663752,-97.026005,48113016410,10803.5,27459.8,10803.5,7518.2,False,False,False,True
481130122092005,607,32.805481,-96.711388,48113012209,2729.8,5967.6,6440.9,172.8,True,False,True,False
481130078092012,39,32.863839,-96.742875,48113007809,5513.2,9830.4,6731.7,242.5,True,False,False,False
481130178142023,32,32.798483,-96.602179,48113017814,1675.1,15492.5,3465.1,4547.2,False,False,True,True
481130181541015,161,32.975031,-96.585433,48113018154,8566.1,27661.9,13468.2,3581.3,False,False,False,True
481130167091053,204,32.638332,-96.790923,48113016709,4934.1,15590.7,7695.5,1542.5,False,False,False,True
481130166301002,44,32.597122,-96.911788,48113016630,10510.4,24226.4,10510.4,4416.8,False,False,False,True
481130144082002,22,32.831032,-97.005076,48113014408,4387.8,23198.1,4387.8,67.4,True,False,False,False
481130081022009,35,32.820734,-96.706682,48113008102,2825.5,7329.0,7152.7,729.4,True,False,True,False
481130196001017,57,32.835018,-96.790019,48113019600,3346.6,6794.1,5436.6,411.6,True,False,False,False
481130165183020,63,32.653123,-96.914491,48113016518,6161.9,19601.9,6161.9,2492.1,False,False,False,True
481130129004016,67,32.859969,-96.706223,48113012900,3728.6,10724.3,3728.6,481.0,True,False,False,False
481130084012002,68,32.775365,-96.715478,48113008401,4282.6,4706.7,4833.4,120.3,True,False,False,False
481130181283008,99,32.848613,-96.605118,48113018128,1112.4,16986.7,1536.9,46.9,True,True,True,False
481130165352029,16,32.661804,-96.914613,48113016535,5774.4,18946.0,5774.4,2210.6,False,False,False,True
481130196001023,52,32.832905,-96.782431,48113019600,3174.1,6362.4,5690.8,191.5,True,False,True,False
481130163012034,20,32.726835,-96.985399,48113016301,10740.8,21336.2,10740.8,5417.2,False,False,False,True
481130166311001,36,32.59823,-96.893354,48113016631,9663.1,23187.1,9663.1,5436.9,False,False,False,True
481130052002018,101,32.738222,-96.85481,48113005200,2588.4,9409.4,2588.4,188.7,True,False,True,False
481130133002008,105,32.898986,-96.798381,48113013300,6776.1,13836.5,6776.1,510.8,True,False,False,False
481130181212006,92,32.91704,-96.599281,48113018121,2954.7,21969.8,8112.2,1347.2,False,False,True,True
481130190513007,86,32.979861,-96.622324,48113019051,8118.5,26161.5,12183.7,2679.2,False,False,False,True
481130145021007,88,32.818739,-96.958913,48113014502,285.0,18672.3,285.0,229.9,True,True,True,False
481130096072010,72,32.903466,-96.86577,48113009607,3958.5,16838.2,3958.5,674.4,True,False,False,False
481130131021017,56,32.890607,-96.779542,48113013102,6033.1,12631.1,8488.3,430.1,True,False,False,False
481130131041003,736,32.882756,-96.773687,48113013104,5903.9,11717.7,9420.5,447.8,True,False,False,False
481130137192015,142,32.981995,-96.903746,48113013719,6835.3,26117.4,6835.3,913.8,False,False,False,True
481130015032011,123,32.801447,-96.778261,48113001503,343.2,2925.6,3529.7,248.9,True,True,True,False
481130182063002,98,32.883857,-96.629325,48113018206,2549.0,17393.8,4137.8,182.1,True,False,True,False
481130079132009,189,32.847185,-96.768998,48113007913,4803.6,7755.4,7710.5,127.0,True,False,False,False
481130001002024,120,32.80868,-96.734595,48113000100,3181.9,4536.2,5144.4,222.3,True,False,True,False
481130093043000,18,32.718524,-96.700409,48113009304,5329.9,8937.5,8529.3,588.2,True,False,False,False
481130005021002,683,32.803756,-96.808451,48113000502,759.2,4966.0,1689.6,367.7,True,True,True,False
481130131011005,41,32.89965,-96.782001,48113013101,5992.3,13652.9,7545.4,892.0,False,False,False,True
481130178121006,37,32.818823,-96.625498,48113017812,1527.9,13911.7,3625.4,2915.9,False,True,True,False
481130011021004,23,32.8156,-96.759494,48113001102,2120.5,4286.0,4980.3,575.4,True,False,True,False
481130191022010,66,32.955041,-96.725514,48113019102,5111.0,20064.2,9782.9,740.5,True,False,False,False
481130101011028,67,32.781009,-96.845997,48113010101,2638.9,7535.8,2638.9,96.3,True,False,True,False
481130063022042,94,32.720855,-96.849881,48113006302,4239.2,10072.1,4239.2,112.5,True,False,False,False
481130122121000,72,32.802537,-96.699482,48113012212,1654.5,6801.6,7206.3,730.4,True,False,True,False
481130084021025,44,32.774982,-96.703797,48113008402,3968.5,5801.8,5920.3,165.1,True,False,False,False
481130128023009,91,32.857813,-96.677073,48113012802,2343.7,12187.0,2343.7,205.0,True,False,True,False
481130003001009,41,32.831279,-96.771191,48113000300,3033.0,6007.7,6321.6,322.9,True,False,True,False
481130010011005,84,32.820774,-96.773499,48113001001,1849.0,4875.9,5458.8,511.1,True,False,True,False
481130027031015,8,32.776057,-96.740597,48113002703,2352.8,2352.8,2517.6,89.5,True,False,True,False
481130188013003,93,32.921842,-96.64147,48113018801,2061.8,19799.8,5627.6,189.6,True,False,True,False
481130208002014,81,32.764161,-96.751328,48113020800,1066.7,1982.1,1644.2,205.3,True,True,True,False
481130208002007,64,32.764606,-96.746152,48113020800,1318.8,2307.7,2067.2,180.3,True,True,True,False
481130114013002,63,32.680515,-96.759961,48113011401,1893.2,10745.8,5766.1,484.6,True,False,True,False
481130176041008,81,32.742328,-96.62177,48113017604,2499.9,14029.3,3040.8,1912.9,False,False,True,True
481130149031041,71,32.809269,-96.931368,48113014903,2963.5,15918.9,2963.5,84.9,True,False,True,False
481130005011003,183,32.814069,-96.81593,48113000501,567.2,6227.4,2255.7,89.0,True,True,True,False
481130140011014,72,32.922425,-96.888662,48113014001,1365.5,19786.2,1365.5,202.9,True,True,True,False
481130077023021,45,32.877524,-96.797554,48113007702,7528.0,11507.3,8614.3,620.1,True,False,False,False
